ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.024895781509055224,1.0,0.02042653172150438,0.0037854117839999993,2538.761297572872,436308.8255851335,38.5737493847526,5.3961188074286355,124287.43813126866,205143.48321768953,101325.0,1.3920000000000001
0.024854702138783682,1.0,0.020401677019365596,0.0037854117839999993,2533.662517401784,435407.1584676076,38.541782460940695,5.389552889753882,124188.93383111552,204976.18416042632,101325.0,1.393
0.024813709115894877,1.0,0.0203768633102497,0.0037854117839999993,2528.576297992341,434507.7650980565,38.50985655784849,5.382997801290118,124090.55601410694,204809.1037708829,101325.0,1.3940000000000001
0.024772802218105888,1.0,0.020352090508031592,0.0037854117839999993,2523.5026025721577,433610.6386669341,38.477971602821164,5.376453519285498,123992.30445522547,204642.24165110366,101325.0,1.395
0.02473198122381557,1.0,0.020327358526807778,0.0037854117839999993,2518.441394494043,432715.77238843037,38.44612752337038,5.36992002104672,123894.17892997338,204475.5974040765,101325.0,1.3960000000000001
0.024691245912102033,1.0,0.020302667280895675,0.0037854117839999993,2513.392637235515,431823.1595003776,38.414324247173795,5.3633972839388395,123796.17921437138,204309.17063372972,101325.0,1.397
0.024650596062720187,1.0,0.020278016684832954,0.0037854117839999993,2508.3562943983134,430932.79326415464,38.38256170207455,5.356885285385099,123698.30508495691,204142.9609449294,101325.0,1.3980000000000001
0.024610031456099354,1.0,0.020253406653376854,0.0037854117839999993,2503.3323297079173,430044.66696459544,38.3508398160809,5.350384002866742,123600.55631878285,203976.9679434769,101325.0,1.399
0.0245695518733409,1.0,0.020228837101503513,0.0037854117839999993,2498.3207070130634,429158.77390989265,38.319158517365665,5.343893413922842,123502.93269341593,203811.19123610566,101325.0,1.4000000000000001
0.02452915709621576,1.0,0.020204307944407297,0.0037854117839999993,2493.3213902852663,428275.10743150616,38.28751773426575,5.337413496150119,123405.43398693526,203645.6304304788,101325.0,1.401
0.024488846907162097,1.0,0.020179819097500135,0.0037854117839999993,2488.334343618342,427393.6608840705,38.255917395281756,5.33094422720277,123308.05997793088,203480.28513518613,101325.0,1.4020000000000001
0.024448621089282915,1.0,0.02015537047641085,0.0037854117839999993,2483.359531227932,426514.4276453018,38.22435742907746,5.324485584792287,123210.81044550237,203315.15495974157,101325.0,1.403
0.02440847942634365,1.0,0.020130961996984508,0.0037854117839999993,2478.3969174510335,425637.40111590724,38.1928377644794,5.318037546687289,123113.68516925728,203150.23951458064,101325.0,1.4040000000000001
0.024368421702769923,1.0,0.020106593575281738,0.0037854117839999993,2473.4464667455236,424762.5747194914,38.16135833047633,5.3116000907133385,123016.68392930974,202985.53841105715,101325.0,1.405
0.02432844770364499,1.0,0.020082265127578092,0.0037854117839999993,2468.508143689694,423889.94190246763,38.12991905621889,5.305173194752779,122919.80650627903,202821.05126144126,101325.0,1.4060000000000001
0.024288557214707643,1.0,0.020057976570363383,0.0037854117839999993,2463.5819129817833,423019.4961339664,38.09851987101902,5.298756836744551,122823.05268128806,202656.77767891617,101325.0,1.407
