conservation_mdot [kg/s],conservation_tank.mass [kg],conservation_tank.volume [m^3],conservation_tank.inenergy [J],conservation_tank.pressure [Pa],conservation_tank.temperature [degK],conservation_tank.density [kg/m^3],conservation_tank.sp_inenergy [J/kg],conservation_tank.sp_enthalpy [J/kg],time [s]
-0.3577359094294096,0.41546382602288345,0.0037854117839999993,42536.002366400426,4592278.642265129,170.86101168857886,109.75393160103386,102381.96372855232,144223.55040590712,0.9
-0.35360217985263465,0.4119278042243571,0.0037854117839999993,42026.02474830428,4531366.775630972,170.17270823900196,108.819813465334,102022.79214300071,143663.80062602385,0.91
-0.34953533733771897,0.4084324508509799,0.0037854117839999993,41523.868998153914,4471553.036026942,169.4902991320985,107.89643879097196,101666.42956904581,143109.43812551623,0.92
-0.34553388541445584,0.40497711199683534,0.0037854117839999993,41029.37739620402,4412810.652954593,168.8136903035891,106.98363483427974,101312.83023353833,142560.35991216765,0.93
-0.3415963714078339,0.401561148282757,0.0037854117839999993,40542.39637967811,4355113.699558355,168.14278994823337,106.08123268915071,100961.94951392661,142016.4658421835,0.9400000000000001
-0.3377213848557572,0.39818393443419947,0.0037854117839999993,40062.77640451268,4298437.059996619,167.47750844911232,105.1890671755249,100613.74390064228,141477.6585204381,0.9500000000000001
-0.33390755599446653,0.3948448588742548,0.0037854117839999993,39590.37181266889,4242756.398301364,166.81775830960964,104.30697673187538,100268.17096098275,140943.84320491628,0.96
-0.33015355430832477,0.39154332333117153,0.0037854117839999993,39125.04070474911,4188048.1286483477,166.1634540879711,103.4348033115257,99925.18930442017,140414.927715144,0.97
-0.3264580871408146,0.3882787424597634,0.0037854117839999993,38666.644817670094,4134289.386964537,165.51451233432627,102.57239228263666,99584.75854927095,139890.82234441538,0.98
-0.32281989836377767,0.3850505434761256,0.0037854117839999993,38215.0494071576,4081458.003803753,164.87085153006547,101.71959233170858,99246.83929066331,139371.43977563255,0.99
-0.31923776710207513,0.38185816580510484,0.0037854117839999993,37770.12313483986,4029532.478425475,164.23239202946698,100.8762553704527,98911.39306974309,138856.69500058526,1.0
-0.31571050651101634,0.37870106073999465,0.0037854117839999993,37331.73795972906,3978491.9540155344,163.59905600347722,100.04223644589223,98578.38234406205,138346.505242507,1.01
-0.3122369626040381,0.37557869111395425,0.0037854117839999993,36899.76903389102,3928316.193990932,162.97076738555003,99.21739365356039,98247.77045909473,137840.78988175283,1.02
-0.3088160131282533,0.3724905309826717,0.0037854117839999993,36474.0946021137,3878985.559334303,162.3474518194573,98.40158805366887,97919.5216208341,137339.4703844524,1.03
-0.30544656648561974,0.36943606531781553,0.0037854117839999993,36054.59590539485,3830480.9869066444,161.72903660898572,97.59468359012632,97593.60086941726,136842.4702339999,1.04
-0.30212756069759256,0.36641478971083963,0.0037854117839999993,35641.157088078544,3782783.9686897807,161.11545066943998,96.79654701229188,97269.9740537361,136349.71486524885,1.05
-0.2988579624112424,0.3634262100867272,0.0037854117839999993,35233.66510847872,3735876.531912814,160.50662448087652,96.00704779935437,96948.6078069896,135861.13160128897,1.06
-0.2956367659449249,0.360469842427278,0.0037854117839999993,34832.009652836496,3689741.2200192297,159.90249004299415,95.2260580872324,96629.46952313656,135376.6495926846,1.07
-0.29246299237168527,0.35754521250356114,0.0037854117839999993,34436.0830524652,3644361.0744338934,159.30298083161415,94.45345259789607,96312.52733421011,134896.19975906613,1.08
-0.2893356886386809,0.3546518556171743,0.0037854117839999993,34045.780203944894,3599719.6170912026,158.70803175668263,93.68910857101469,95997.7500884566,134419.71473296685,1.09
-0.2862539267209873,0.35178931634996446,0.0037854117839999993,33660.99849223463,3555800.8336879252,158.11757912173294,92.93290569784007,95685.10732926363,133947.12880580255,1.1
-0.2832168028082402,0.34895714832188207,0.0037854117839999993,33281.637716577396,3512589.157626155,157.53156058474892,92.18472605723841,95374.56927484412,133478.37787590412,1.11
-0.28022343652264403,0.34615491395665565,0.0037854117839999993,32907.600019078855,3470069.4546136963,156.94991512037154,91.44445405378801,95066.10679864402,133013.39939850566,1.12
-0.277272970166954,0.3433821842549861,0.0037854117839999993,32538.789815846583,3428227.0078909076,156.37258298339515,90.71197635786358,94759.69141044364,132552.1323376082,1.1300000000000001
-0.2743645680011032,0.3406385385749751,0.0037854117839999993,32175.113730582252,3387047.504054695,155.7995056735006,89.9871818476315,94455.29523812367,132094.51711963257,1.1400000000000001
-0.27149741554621737,0.33792356441951293,0.0037854117839999993,31816.480530524193,3346517.0194519353,155.23062590117766,89.26996155288373,94152.8910100683,131640.4955887871,1.1500000000000001
-0.26867071891482336,0.3352368572303647,0.0037854117839999993,31462.80106464276,3306622.007115961,154.66588755478784,88.56020860064105,93852.45203817928,131190.01096407406,1.16
-0.26588370416611,0.33257802018870364,0.0037854117839999993,31113.988203995556,3267349.284221215,154.10523566872394,87.85781816245958,93553.95220147616,130743.00779786592,1.17
-0.2631356166851637,0.329946664021852,0.0037854117839999993,30769.95678415391,3228686.02003239,153.54861639262208,87.1626874033771,93257.3659302585,130299.43193598489,1.18
-0.2604257205851473,0.3273424068160006,0.0037854117839999993,30430.623549616266,3190619.724325687,152.9959769615874,86.47471543243884,92962.66819080774,129859.23047921977,1.19
-0.25775329813144676,0.3247648738346861,0.0037854117839999993,30095.90710012796,3153138.2362608197,152.44726566739143,85.79380325474418,92669.8344706071,129422.35174622352,1.2
-0.2551176491868498,0.32221369734281763,0.0037854117839999993,29765.72783883066,3116229.7136836667,151.90243183060642,85.11985372495943,92378.8407640584,128988.74523773004,1.21
-0.2525180906768753,0.3196885164360489,0.0037854117839999993,29440.007922168283,3079882.622840298,151.36142577363873,84.45277150224271,92089.66355867687,128558.36160203845,1.22
-0.24995395607440207,0.3171889768753049,0.0037854117839999993,29118.671211479552,3044085.7284842227,150.8241987946282,83.79246300653058,91802.27982174439,128131.15260171001,1.23
-0.24742459490279903,0.3147147309262769,0.0037854117839999993,28801.643226210483,3008828.084359559,150.2907031421813,83.13883637613702,91516.66698740383,127707.07108143045,1.24
-0.24492937225678837,0.31226543720370903,0.0037854117839999993,28488.851098683204,2974099.0240436047,149.76089199090444,82.49180142661834,91232.80294417682,127286.07093698767,1.25
-0.24246766834030517,0.30984076052030596,0.0037854117839999993,28180.223530360305,2939888.1521332767,149.234719417711,81.85126961085881,90950.66602288908,126868.10708532139,1.26
-0.24003887802066884,0.30744037174009925,0.0037854117839999993,27875.69074954664,2906185.335760475,148.7121403788698,81.21715398033413,90670.23498498727,126453.1354356011,1.27
-0.23764241039838896,0.3050639476361154,0.0037854117839999993,27575.184470473137,2872980.6964222556,148.19311068777003,80.58936914751133,90391.48901123252,126041.11286129062,1.28
-0.2352776883919817,0.30271117075219556,0.0037854117839999993,27278.637853709562,2840264.60211239,147.67758699337614,79.96783124934542,90114.40769075652,125631.9971731603,1.29
