isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-0.4115778476714842,0.35127838848780213,0.0037854117839999993,63353.603526387524,7180631.214771716,266.70456287524735,92.79793283588567,180351.55478569222,257730.76998298292,0.89
-0.4064338525407111,0.347214049962395,0.0037854117839999993,62640.98690249893,7092163.039354319,266.52485749868214,91.72424818615059,180410.2884352844,257730.76998298886,0.9
-0.4013649226988928,0.3432004007354061,0.0037854117839999993,61936.65973305251,7004956.216133568,266.3466906166366,90.66395423241123,180467.91204303756,257730.7699829947,0.91
-0.3963696485047303,0.3392367042503588,0.0037854117839999993,61240.51964672033,6918987.6401092885,266.170054584366,89.61685639703151,180524.4505663056,257730.76998300056,0.92
-0.3914466557765156,0.3353222376925936,0.0037854117839999993,60552.46563793528,6834234.781100783,265.99494161264306,88.58276373257935,180579.9282940689,257730.76998300635,0.93
-0.38659460465316353,0.331456291646062,0.0037854117839999993,59872.39804889921,6750675.665132395,265.82134377665767,87.56148883116121,180634.36886825663,257730.7699830122,0.9400000000000001
-0.3818121884989279,0.32763816976107274,0.0037854117839999993,59200.21855165311,6668288.856548593,265.6492530245099,86.55284773665004,180687.79530426612,257730.76998301802,0.9500000000000001
-0.37709813284989085,0.32386718843257384,0.0037854117839999993,58535.83013022594,6587053.440825443,265.47866118531346,85.55665985969623,180740.23001071182,257730.76998324203,0.96
-0.3724511944003395,0.3201426764885704,0.0037854117839999993,57879.137062926115,6506949.008052987,265.3095599771267,84.57274789541641,180791.6948085879,257730.76998346217,0.97
-0.36787016002773915,0.31646397488829303,0.0037854117839999993,57230.04490454777,6427955.63702953,265.1419410137461,83.60093774365792,180842.21094912654,257730.7699836786,0.98
-0.36335384585312597,0.31283043642976177,0.0037854117839999993,56588.46046899295,6350053.879998576,264.97579581235226,82.64105843174546,180891.7991318868,257730.76998389134,0.99
-0.358901096337958,0.30924142546638217,0.0037854117839999993,55954.29181182835,6273224.747942033,264.8111158000461,81.69294203961357,180940.47952159363,257730.7699841004,1.0
-0.3545107834135232,0.3056963176322469,0.0037854117839999993,55327.44821303541,6197449.696434248,264.64789232028227,80.75642362723912,180988.2717645111,257730.76998430584,1.01
-0.3501818056426251,0.3021944995758207,0.0037854117839999993,54707.84015991262,6122710.612026594,264.48611663901687,79.83134116428818,181035.19500422414,257730.7699845076,1.02
-0.34591308741197047,0.298735368701701,0.0037854117839999993,54095.37933013809,6048989.799139562,264.32577995058165,78.91753546189653,181081.26789685374,257730.7699847058,1.03
-0.34170357815396446,0.29531833292016135,0.0037854117839999993,53489.978574999885,5976269.967440514,264.1668733833001,78.01485010650599,181126.50862573026,257730.76998490051,1.04
-0.33755225159668567,0.2919428104041945,0.0037854117839999993,52891.55190279942,5904534.219686107,264.0093880048537,77.12313139568188,181170.93491554435,257730.76998509164,1.05
-0.3334581050408656,0.28860822935378583,0.0037854117839999993,52300.014462434614,5833766.040009787,263.8533148274148,76.24222827584083,181214.56404600115,257730.76998527933,1.06
-0.3294201586627603,0.28531402776715825,0.0037854117839999993,51715.28252716644,5763949.282635327,263.69864481255496,75.37199228181996,181257.41286499496,257730.7699854636,1.07
-0.3254374548418423,0.2820596532187398,0.0037854117839999993,51137.2734785734,5695068.160998457,263.54536887593736,74.51227747822213,181299.49780132496,257730.7699856446,1.08
