run_time [s],time [s],state [-],ox_l1 [lbf],ox_l2 [lbf],ox_l3 [lbf],ox_l4 [lbf],fu_l1 [lbf],fu_l2 [lbf],fu_l3 [lbf],fu_l4 [lbf],ox_tc_094 [degF],ox_tc_097 [degF],fu_tc_056 [degF],ch_stc_101_a [degF],ch_stc_101_b [degF],ch_stc_101_c [degF]
35.5450,1.7190,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.5510,1.7250,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.5570,1.7310,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.5630,1.7370,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.5690,1.7430,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.5750,1.7490,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.5810,1.7550,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.5870,1.7610,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.5930,1.7670,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1260.32,-404.00,-404.00
35.5990,1.7730,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1260.32,-404.00,-404.00
35.6050,1.7790,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1260.32,-404.00,-404.00
35.6110,1.7850,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1260.32,-404.00,-404.00
35.6170,1.7910,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1262.48,-404.00,-404.00
35.6230,1.7970,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1262.48,-404.00,-404.00
35.6290,1.8030,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1262.48,-404.00,-404.00
35.6350,1.8090,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1262.48,-404.00,-404.00
35.6410,1.8150,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.6470,1.8210,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.6530,1.8270,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.6590,1.8330,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.6650,1.8390,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.6710,1.8450,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.6770,1.8510,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.6830,1.8570,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.6890,1.8630,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.6950,1.8690,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.7010,1.8750,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.7070,1.8810,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.7130,1.8870,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.7190,1.8930,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.7250,1.8990,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.7310,1.9050,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.7370,1.9110,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.7430,1.9170,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1259.24,80.96,1261.40,-404.00,-404.00
35.7490,1.9230,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.7550,1.9290,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
