run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF],OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
182.5800,1.3800,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.5850,1.3850,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.5900,1.3900,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.5950,1.3950,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.6000,1.4000,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.6050,1.4050,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.6100,1.4100,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.6150,1.4150,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.6200,1.4200,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.6250,1.4250,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1336.9109,1333.1328,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.6300,1.4300,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.6350,1.4350,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1336.9109,1336.9109,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.6400,1.4400,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.6450,1.4450,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.6500,1.4500,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.6550,1.4550,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,63.7032,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.3968,67.58
182.6600,1.4600,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1342.5780,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.6650,1.4650,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.6700,1.4700,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1342.5780,1336.9109,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.97
182.6750,1.4750,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.6800,1.4800,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.6850,1.4850,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,69.3703,1340.6890,1335.0219,1336.9109,1333.1328,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.6900,1.4900,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.6950,1.4950,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.7000,1.5000,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.3968,67.58
182.7050,1.5050,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1333.1328,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.7100,1.5100,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1336.9109,1336.9109,-200.0000,-200.0000,66.7903,67.97
